DATE,BSCICP03USM665S
2020-01-01,99.15387
2020-02-01,99.03934
2020-03-01,98.63115
2020-04-01,98.18549
2020-05-01,98.41359
2020-06-01,99.24374
2020-07-01,99.94762
2020-08-01,100.4147
2020-09-01,100.7143
2020-10-01,100.9829
2020-11-01,101.1468
2020-12-01,101.3619
2021-01-01,101.5407
2021-02-01,101.7788
2021-03-01,101.9768
2021-04-01,101.935
2021-05-01,101.8528
2021-06-01,101.7171
2021-07-01,101.5841
2021-08-01,101.5373
2021-09-01,101.5773
2021-10-01,101.5794
2021-11-01,101.498
2021-12-01,101.2974
2022-01-01,101.1222
2022-02-01,101.0105
2022-03-01,100.8473
2022-04-01,100.6536
2022-05-01,100.4397
2022-06-01,100.1548
2022-07-01,99.94544
2022-08-01,99.7755
2022-09-01,99.54729
2022-10-01,99.31562
2022-11-01,99.09515
2022-12-01,98.91479
2023-01-01,98.77238
2023-02-01,98.68208
2023-03-01,98.59528
2023-04-01,98.55729
2023-05-01,98.5284
2023-06-01,98.53253
2023-07-01,98.5976
2023-08-01,98.70704
2023-09-01,98.75687
2023-10-01,98.68998
2023-11-01,98.66783
2023-12-01,98.76071
2024-01-01,98.96989
