DATE,BSCICP03USM665S
2008-01-01,99.13264
2008-02-01,99.03803
2008-03-01,99.01328
2008-04-01,99.08108
2008-05-01,99.22625
2008-06-01,99.32801
2008-07-01,99.23627
2008-08-01,98.80284
2008-09-01,97.92882
2008-10-01,96.97589
2008-11-01,96.22255
2008-12-01,95.79787
2009-01-01,95.83675
2009-02-01,96.06279
2009-03-01,96.45823
2009-04-01,97.06013
2009-05-01,97.71999
2009-06-01,98.38803
2009-07-01,99.07358
2009-08-01,99.6423
2009-09-01,99.9725
2009-10-01,100.2061
2009-11-01,100.3296
2009-12-01,100.5614
2010-01-01,100.8952
2010-02-01,101.1344
2010-03-01,101.334
2010-04-01,101.2729
2010-05-01,100.9857
2010-06-01,100.6463
2010-07-01,100.4564
2010-08-01,100.4313
2010-09-01,100.5451
2010-10-01,100.7784
2010-11-01,101.0263
2010-12-01,101.2197
2011-01-01,101.3655
2011-02-01,101.4195
2011-03-01,101.3179
2011-04-01,101.0561
2011-05-01,100.6353
2011-06-01,100.3688
2011-07-01,100.0838
2011-08-01,99.89833
2011-09-01,99.77426
2011-10-01,99.68117
2011-11-01,99.69808
2011-12-01,99.81861
2012-01-01,99.95617
2012-02-01,100.0671
2012-03-01,100.1241
2012-04-01,100.0934
2012-05-01,99.90049
2012-06-01,99.61568
2012-07-01,99.44756
2012-08-01,99.4297
2012-09-01,99.43368
2012-10-01,99.34209
2012-11-01,99.28816
2012-12-01,99.4594
2013-01-01,99.77489
2013-02-01,99.9356
2013-03-01,99.79563
2013-04-01,99.57814
2013-05-01,99.55011
2013-06-01,99.77454
2013-07-01,100.0942
2013-08-01,100.3726
2013-09-01,100.5062
2013-10-01,100.5452
2013-11-01,100.5154
2013-12-01,100.3794
2014-01-01,100.199
2014-02-01,100.2495
2014-03-01,100.3578
2014-04-01,100.4506
2014-05-01,100.5118
2014-06-01,100.5569
2014-07-01,100.6601
2014-08-01,100.7984
2014-09-01,100.8146
2014-10-01,100.8334
2014-11-01,100.7355
2014-12-01,100.4709
2015-01-01,100.2009
2015-02-01,99.98762
2015-03-01,99.84135
2015-04-01,99.80164
2015-05-01,99.86176
2015-06-01,99.85343
2015-07-01,99.71892
2015-08-01,99.51942
2015-09-01,99.30373
2015-10-01,99.10832
2015-11-01,98.95155
2015-12-01,98.89609
2016-01-01,98.98419
2016-02-01,99.20454
2016-03-01,99.44843
2016-04-01,99.57745
2016-05-01,99.68911
2016-06-01,99.7663
2016-07-01,99.67638
