DATE,WLEMUINDXD
2008-01-01,149.95
2008-01-02,97.01
2008-01-03,12.12
2008-01-04,45.17
2008-01-05,143.82
2008-01-06,68.94
2008-01-07,64.25
2008-01-08,17.0
2008-01-09,74.77
2008-01-10,77.44
2008-01-11,76.18
2008-01-12,97.0
2008-01-13,32.59
2008-01-14,51.75
2008-01-15,186.88
2008-01-16,6.32
2008-01-17,25.14
2008-01-18,186.46
2008-01-19,66.35
2008-01-20,64.88
2008-01-21,290.51
2008-01-22,442.72
2008-01-23,195.28
2008-01-24,70.15
2008-01-25,158.53
2008-01-26,210.43
2008-01-27,104.12
2008-01-28,345.99
2008-01-29,124.66
2008-01-30,159.58
2008-01-31,15.13
2008-02-01,92.13
2008-02-02,92.88
2008-02-03,53.7
2008-02-04,41.56
2008-02-05,81.46
2008-02-06,24.15
2008-02-07,37.07
2008-02-08,68.25
2008-02-09,185.64
2008-02-10,38.72
2008-02-11,72.35
2008-02-12,91.66
2008-02-13,189.85
2008-02-14,55.48
2008-02-15,31.89
2008-02-16,62.58
2008-02-17,122.28
2008-02-18,94.76
2008-02-19,24.64
2008-02-20,30.51
2008-02-21,60.66
2008-02-22,19.62
2008-02-23,63.61
2008-02-24,31.11
2008-02-25,10.06
2008-02-26,161.98
2008-02-27,18.03
2008-02-28,10.07
2008-02-29,50.86
2008-03-01,44.76
2008-03-02,15.52
2008-03-03,30.5
2008-03-04,92.27
2008-03-05,90.79
2008-03-06,75.68
2008-03-07,13.02
2008-03-08,101.16
2008-03-09,15.63
2008-03-10,20.78
2008-03-11,7.88
2008-03-12,12.76
2008-03-13,10.09
2008-03-14,12.99
2008-03-15,18.42
2008-03-16,40.02
2008-03-17,252.58
2008-03-18,149.64
2008-03-19,62.35
2008-03-20,63.05
2008-03-21,280.8
2008-03-22,60.57
2008-03-23,72.74
2008-03-24,15.76
2008-03-25,57.44
2008-03-26,25.24
2008-03-27,45.46
2008-03-28,27.63
2008-03-29,88.05
2008-03-30,60.62
2008-03-31,49.88
2008-04-01,57.48
2008-04-02,89.68
2008-04-03,9.79
2008-04-04,26.62
2008-04-05,28.97
2008-04-06,8.04
2008-04-07,30.51
2008-04-08,22.37
2008-04-09,24.25
2008-04-10,10.05
2008-04-11,6.53
2008-04-12,47.43
2008-04-13,39.66
2008-04-14,52.18
2008-04-15,46.94
2008-04-16,34.48
2008-04-17,19.05
2008-04-18,18.88
2008-04-19,66.08
2008-04-20,31.0
2008-04-21,113.89
2008-04-22,54.91
2008-04-23,17.65
2008-04-24,34.43
2008-04-25,19.1
2008-04-26,46.31
2008-04-27,7.94
2008-04-28,50.58
2008-04-29,8.09
2008-04-30,89.92
2008-05-01,14.48
2008-05-02,18.72
2008-05-03,27.93
2008-05-04,40.11
2008-05-05,19.4
2008-05-06,31.37
2008-05-07,6.22
2008-05-08,4.87
2008-05-09,19.43
2008-05-10,19.14
2008-05-11,15.93
2008-05-12,64.73
2008-05-13,113.88
2008-05-14,19.38
2008-05-15,4.92
2008-05-16,13.15
2008-05-17,76.66
2008-05-18,48.7
2008-05-19,52.54
2008-05-20,16.1
2008-05-21,31.97
2008-05-22,4.91
2008-05-23,6.61
2008-05-24,39.19
2008-05-25,8.32
2008-05-26,13.98
2008-05-27,28.62
2008-05-28,13.47
2008-05-29,5.2
2008-05-30,6.65
2008-05-31,19.5
2008-06-01,16.2
2008-06-02,10.46
2008-06-03,16.49
2008-06-04,13.54
2008-06-05,15.78
2008-06-06,40.57
2008-06-07,19.78
2008-06-08,16.6
2008-06-09,63.46
2008-06-10,49.07
2008-06-11,6.64
2008-06-12,15.28
2008-06-13,20.47
2008-06-14,19.97
2008-06-15,42.04
2008-06-16,64.77
2008-06-17,24.69
2008-06-18,6.44
2008-06-19,21.15
2008-06-20,162.06
2008-06-21,20.46
2008-06-22,8.69
2008-06-23,10.98
2008-06-24,40.47
2008-06-25,6.39
2008-06-26,10.53
2008-06-27,42.08
2008-06-28,115.47
2008-06-29,51.99
2008-06-30,55.14
2008-07-01,40.7
2008-07-02,13.59
2008-07-03,15.74
2008-07-04,27.55
2008-07-05,85.86
2008-07-06,8.82
2008-07-07,53.96
2008-07-08,34.52
2008-07-09,74.49
2008-07-10,47.15
2008-07-11,42.51
2008-07-12,93.16
2008-07-13,33.88
2008-07-14,236.35
2008-07-15,337.31
2008-07-16,107.94
2008-07-17,73.46
2008-07-18,49.06
2008-07-19,82.25
2008-07-20,33.97
2008-07-21,10.77
2008-07-22,33.92
2008-07-23,19.78
2008-07-24,26.83
2008-07-25,20.72
2008-07-26,60.4
2008-07-27,33.07
2008-07-28,20.55
2008-07-29,33.67
2008-07-30,12.97
2008-07-31,5.06
2008-08-01,6.7
2008-08-02,40.82
2008-08-03,16.81
2008-08-04,20.81
2008-08-05,33.38
2008-08-06,25.34
2008-08-07,72.57
2008-08-08,27.76
2008-08-09,30.64
2008-08-10,42.38
2008-08-11,20.64
2008-08-12,40.93
2008-08-13,18.86
2008-08-14,87.51
2008-08-15,87.13
2008-08-16,59.85
2008-08-17,93.76
2008-08-18,41.06
2008-08-19,32.96
2008-08-20,43.86
2008-08-21,41.68
2008-08-22,56.03
2008-08-23,39.72
2008-08-24,23.35
2008-08-25,20.79
2008-08-26,15.54
2008-08-27,5.81
2008-08-28,4.88
2008-08-29,6.52
2008-08-30,18.67
2008-08-31,32.85
2008-09-01,41.6
2008-09-02,89.39
2008-09-03,56.34
2008-09-04,20.35
2008-09-05,25.79
2008-09-06,54.55
2008-09-07,8.21
2008-09-08,60.82
2008-09-09,62.24
2008-09-10,47.94
2008-09-11,9.82
2008-09-12,38.74
2008-09-13,54.94
2008-09-14,30.73
2008-09-15,353.92
2008-09-16,176.6
2008-09-17,155.16
2008-09-18,224.64
2008-09-19,199.51
2008-09-20,395.62
2008-09-21,81.62
2008-09-22,228.69
2008-09-23,236.49
2008-09-24,115.97
2008-09-25,385.31
2008-09-26,154.32
2008-09-27,260.34
2008-09-28,215.74
2008-09-29,1117.23
2008-09-30,504.44
2008-10-01,272.19
2008-10-02,192.94
2008-10-03,111.06
2008-10-04,363.47
2008-10-05,353.38
2008-10-06,459.7
2008-10-07,274.72
2008-10-08,373.6
2008-10-09,245.39
