DATE,USEPUINDXM
2008-01-01,144.98473
2008-02-01,108.10469
2008-03-01,111.71236
2008-04-01,102.1969
2008-05-01,94.28405
2008-06-01,94.55676
2008-07-01,109.78898
2008-08-01,95.87075
2008-09-01,187.7403
2008-10-01,189.91729
2008-11-01,148.84257
2008-12-01,145.9947
2009-01-01,171.94621
2009-02-01,187.11403
2009-03-01,166.90338
2009-04-01,131.85612
2009-05-01,138.80585
2009-06-01,130.93348
2009-07-01,126.28215
2009-08-01,152.55009
2009-09-01,145.44437
2009-10-01,138.13055
2009-11-01,116.16231
2009-12-01,121.22101
2010-01-01,149.35928
2010-02-01,132.79865
2010-03-01,137.47003
2010-04-01,137.0774
2010-05-01,151.10342
2010-06-01,140.56916
2010-07-01,180.01446
2010-08-01,147.30909
2010-09-01,182.14672
2010-10-01,163.42489
2010-11-01,179.13559
2010-12-01,165.40785
2011-01-01,142.17046
2011-02-01,145.5089
2011-03-01,174.35437
2011-04-01,157.49588
2011-05-01,126.19207
2011-06-01,158.08862
2011-07-01,197.91636
2011-08-01,245.12671
2011-09-01,204.62979
2011-10-01,159.73957
2011-11-01,166.33902
2011-12-01,189.39836
2012-01-01,178.28653
2012-02-01,149.63708
2012-03-01,137.55312
2012-04-01,136.59669
2012-05-01,158.56198
2012-06-01,194.61057
2012-07-01,184.8797
2012-08-01,152.35347
2012-09-01,175.27705
2012-10-01,165.94452
2012-11-01,187.49064
2012-12-01,192.82518
2013-01-01,157.5333
2013-02-01,114.65412
2013-03-01,124.94082
2013-04-01,118.71049
2013-05-01,104.30455
2013-06-01,114.61614
2013-07-01,94.03991
2013-08-01,102.77067
2013-09-01,144.40178
2013-10-01,171.02225
2013-11-01,89.90614
2013-12-01,104.60212
2014-01-01,93.50074
2014-02-01,88.98535
2014-03-01,93.46759
2014-04-01,91.11802
2014-05-01,90.39225
2014-06-01,81.00762
2014-07-01,76.64489
2014-08-01,71.26214
2014-09-01,84.33692
2014-10-01,100.20666
2014-11-01,88.56003
2014-12-01,85.1875
2015-01-01,117.16063
2015-02-01,100.31974
2015-03-01,105.21813
2015-04-01,109.64379
2015-05-01,101.01894
2015-06-01,108.95279
2015-07-01,98.91843
2015-08-01,129.69532
2015-09-01,138.72169
2015-10-01,102.89402
2015-11-01,92.10044
2015-12-01,99.34261
2016-01-01,119.01519
2016-02-01,114.62456
2016-03-01,104.19081
2016-04-01,84.25134
2016-05-01,82.04127
2016-06-01,162.62912
2016-07-01,121.96465
