Date,Close,High,Low,Open,Volume,Yield_10Y,EMUI,BCI,CEI,EPUI,PMI,Sentiment_Score,Adj_Close,EMA,MACD_Line,MACD_Signal,MACD_Diff,RSI,Stoch_K,Stoch_D,Williams_R,Adj_Close_lag1,EMA_lag1,MACD_Line_lag1,MACD_Signal_lag1,MACD_Diff_lag1,RSI_lag1,Stoch_K_lag1,Stoch_D_lag1,Williams_R_lag1,Yield_10Y_lag1,EMUI_lag1,BCI_lag1,CEI_lag1,EPUI_lag1,PMI_lag1,Sentiment_Score_lag1,Target_Price
2008-02-21,1342.530029,1367.939941,1339.339966,1362.209961,3696660000,3.77,60.66,99.03803,70.8,108.10469,101.8438,-0.995652,1342.530029,1355.942472,-10.283449,-13.198272,2.914822,44.172116,32.52179,42.508752,-67.47821,1360.030029,1357.354308,-10.252352,-13.926977,3.674626,48.901623,54.598232,45.645693,-45.401768,3.93,30.51,99.03803,70.8,108.10469,101.8438,-0.995652,1342.530029
2008-02-22,1353.109985,1354.300049,1327.040039,1344.219971,3572660000,3.79,19.62,99.03803,70.8,108.10469,101.8438,-0.995652,1353.109985,1355.672711,-9.346638,-12.427945,3.081307,47.479266,46.241871,44.453964,-53.758129,1342.530029,1355.942472,-10.283449,-13.198272,2.914822,44.172116,32.52179,42.508752,-67.47821,3.77,60.66,99.03803,70.8,108.10469,101.8438,-0.995652,1353.109985
2008-02-25,1371.800049,1374.359985,1346.030029,1352.75,3866350000,3.91,10.06,99.03803,70.8,108.10469,101.8438,-0.995652,1371.800049,1357.208648,-7.01521,-11.345398,4.330188,52.798731,86.652012,55.138558,-13.347988,1353.109985,1355.672711,-9.346638,-12.427945,3.081307,47.479266,46.241871,44.453964,-53.758129,3.79,19.62,99.03803,70.8,108.10469,101.8438,-0.995652,1371.800049
2008-02-26,1381.290039,1387.339966,1363.290039,1371.76001,4096060000,3.88,161.98,99.03803,70.8,108.10469,101.8438,-0.995652,1381.290039,1359.502114,-4.35161,-9.94664,5.59503,55.275699,91.429481,74.774455,-8.570519,1371.800049,1357.208648,-7.01521,-11.345398,4.330188,52.798731,86.652012,55.138558,-13.347988,3.91,10.06,99.03803,70.8,108.10469,101.8438,-0.995652,1381.290039
2008-02-27,1380.02002,1388.339966,1372.0,1378.949951,3904700000,3.85,18.03,99.03803,70.8,108.10469,101.8438,-0.995652,1380.02002,1361.4562,-2.316466,-8.420605,6.10414,54.860785,88.378335,88.819942,-11.621665,1381.290039,1359.502114,-4.35161,-9.94664,5.59503,55.275699,91.429481,74.774455,-8.570519,3.88,161.98,99.03803,70.8,108.10469,101.8438,-0.995652,1380.02002
2008-02-28,1367.680054,1378.160034,1363.160034,1378.160034,3938580000,3.71,10.07,99.03803,70.8,108.10469,101.8438,-0.995652,1367.680054,1362.048948,-1.679966,-7.072478,5.392512,50.865606,69.626718,83.144844,-30.373282,1380.02002,1361.4562,-2.316466,-8.420605,6.10414,54.860785,88.378335,88.819942,-11.621665,3.85,18.03,99.03803,70.8,108.10469,101.8438,-0.995652,1367.680054
2008-02-29,1330.630005,1364.069946,1325.420044,1364.069946,4426730000,3.53,50.86,99.03803,70.8,108.10469,101.8438,-0.995652,1330.630005,1359.056668,-4.117698,-6.481522,2.363824,41.171089,15.157388,57.720814,-84.842612,1367.680054,1362.048948,-1.679966,-7.072478,5.392512,50.865606,69.626718,83.144844,-30.373282,3.71,10.07,99.03803,70.8,108.10469,101.8438,-0.995652,1330.630005
2008-03-03,1331.339966,1335.130005,1320.040039,1330.449951,4117570000,3.54,30.5,99.03803,70.8,108.10469,101.8438,-0.995652,1331.339966,1356.416982,-5.924041,-6.370026,0.445984,41.401561,16.544566,33.776224,-83.455434,1330.630005,1359.056668,-4.117698,-6.481522,2.363824,41.171089,15.157388,57.720814,-84.842612,3.53,50.86,99.03803,70.8,108.10469,101.8438,-0.995652,1331.339966
2008-03-04,1326.75,1331.030029,1307.390015,1329.579956,4757180000,3.63,92.27,99.03803,70.8,108.10469,101.8438,-0.995652,1326.75,1353.591555,-7.637909,-6.623602,-1.014306,40.30226,23.915994,18.539316,-76.084006,1331.339966,1356.416982,-5.924041,-6.370026,0.445984,41.401561,16.544566,33.776224,-83.455434,3.54,30.5,99.03803,70.8,108.10469,101.8438,-0.995652,1326.75
2008-03-05,1333.699951,1344.189941,1320.219971,1327.689941,4277710000,3.7,90.79,99.03803,70.8,108.10469,101.8438,-0.995652,1333.699951,1351.697117,-8.339228,-6.966727,-1.372501,42.779721,32.501485,24.320682,-67.498515,1326.75,1353.591555,-7.637909,-6.623602,-1.014306,40.30226,23.915994,18.539316,-76.084006,3.63,92.27,99.03803,70.8,108.10469,101.8438,-0.995652,1333.699951
2008-03-06,1304.339966,1332.199951,1303.420044,1332.199951,4323460000,3.62,75.68,99.03803,70.8,108.10469,101.8438,-0.995652,1304.339966,1347.186912,-11.135768,-7.800536,-3.335233,35.985558,1.083282,19.16692,-98.916718,1333.699951,1351.697117,-8.339228,-6.966727,-1.372501,42.779721,32.501485,24.320682,-67.498515,3.7,90.79,99.03803,70.8,108.10469,101.8438,-0.995652,1304.339966
2008-03-07,1293.369995,1313.23999,1282.430054,1301.530029,4565410000,3.56,13.02,99.03803,70.8,108.10469,101.8438,-0.995652,1293.369995,1342.061491,-14.074984,-9.055425,-5.019559,33.824045,10.329478,14.638082,-89.670522,1304.339966,1347.186912,-11.135768,-7.800536,-3.335233,35.985558,1.083282,19.16692,-98.916718,3.62,75.68,99.03803,70.8,108.10469,101.8438,-0.995652,1293.369995
2008-03-10,1273.369995,1295.01001,1272.660034,1293.160034,4261240000,3.46,20.78,99.03803,70.8,108.10469,101.8438,-0.995652,1273.369995,1335.519444,-17.812831,-10.806906,-7.005925,30.255853,0.613729,4.00883,-99.386271,1293.369995,1342.061491,-14.074984,-9.055425,-5.019559,33.824045,10.329478,14.638082,-89.670522,3.56,13.02,99.03803,70.8,108.10469,101.8438,-0.995652,1273.369995
2008-03-11,1320.650024,1320.650024,1274.400024,1274.400024,5109080000,3.6,7.88,99.03803,70.8,108.10469,101.8438,-0.995652,1320.650024,1334.103309,-16.766722,-11.99887,-4.767853,45.02138,41.485147,17.476118,-58.514853,1273.369995,1335.519444,-17.812831,-10.806906,-7.005925,30.255853,0.613729,4.00883,-99.386271,3.46,20.78,99.03803,70.8,108.10469,101.8438,-0.995652,1320.650024
2008-03-12,1308.77002,1333.26001,1307.859985,1321.130005,4414280000,3.49,12.76,99.03803,70.8,108.10469,101.8438,-0.995652,1308.77002,1331.690614,-16.70374,-12.939844,-3.763897,42.58194,31.215428,24.438101,-68.784572,1320.650024,1334.103309,-16.766722,-11.99887,-4.767853,45.02138,41.485147,17.476118,-58.514853,3.6,7.88,99.03803,70.8,108.10469,101.8438,-0.995652,1308.77002
2008-03-13,1315.47998,1321.680054,1282.109985,1305.26001,5073360000,3.56,10.09,99.03803,70.8,108.10469,101.8438,-0.995652,1315.47998,1330.146745,-15.928772,-13.537629,-2.391142,44.413939,37.015881,36.572152,-62.984119,1308.77002,1331.690614,-16.70374,-12.939844,-3.763897,42.58194,31.215428,24.438101,-68.784572,3.49,12.76,99.03803,70.8,108.10469,101.8438,-0.995652,1315.47998
2008-03-14,1288.140015,1321.469971,1274.859985,1316.050049,5153780000,3.44,12.99,99.03803,70.8,108.10469,101.8438,-0.995652,1288.140015,1326.146104,-17.321044,-14.294312,-3.026732,38.95947,13.381734,27.204348,-86.618266,1315.47998,1330.146745,-15.928772,-13.537629,-2.391142,44.413939,37.015881,36.572152,-62.984119,3.56,10.09,99.03803,70.8,108.10469,101.8438,-0.995652,1288.140015
